wavelength,EffVal,Unc
130.0,0.0182751182494,0.000694725294063
140.0,0.0197210711506,0.000431964983068
150.0,0.0208467189482,0.000459355148691
160.0,0.0217297655704,0.000473102293865
170.0,0.0207297758952,0.000466070029404
180.0,0.019904160243,0.000449342347582
190.0,0.0187375924968,0.00040988132845
200.0,0.0191931883661,0.000449395672455
210.0,0.0211800771855,0.000498229406228
220.0,0.0242287716902,0.000570578535557
230.0,0.0265827411705,0.000590998616027
240.0,0.0255079711179,0.000585496028979
250.0,0.0250388856115,0.000558521568796
