Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
130,,,0.00061,0.0001445683,1.05613,0.0004124318,0.00783,0.0001486607
140,,,0.00066,0.0001356466,5.8181,0.00175784,0.0505,0.0001183216
150,,,0.00068,7.483315e-05,13.2934,0.00156205,0.14274,0.00018
160,,,0.00066,0.0001019804,33.046,0.004898979,0.42605,0.0001284523
170,,,0.00056,0.0001356466,3.7134,0.001428286,0.05536,0.0001113553
180,,,0.00062,0.0001661325,2.1733,0.0004582576,0.03624,9.165151e-05
190,,,0.00068,0.0001249,2.3749,0.0003,0.0411,0.0001
200,,,0.00048,0.0003815757,2.296,0.0,0.04466,9.165151e-05
210,,,0.00061,0.0001640122,1.04722,0.00014,0.02485,0.0001565248
220,,,0.0007,0.0001264911,1.13195,0.0001360147,0.03301,0.0002211334
230,,,0.00088,9.797959e-05,1.09272,0.0001939072,0.03586,0.0001356466
240,,,0.00088,0.000132665,1.01403,0.0001552417,0.03343,0.0001187434
250,,,0.00084,0.0001019804,0.80661,0.0001972308,0.0298,0.0001264911
