wavelength,EffVal,Unc
120.0,0.0135131429565,0.00287250404081
130.0,0.0138543400916,0.0016130294505
140.0,0.016458011394,0.000703979470531
150.0,0.0186051459286,0.000446682361081
160.0,0.0198528278459,0.000445810015493
170.0,0.0201906474148,0.000656679522626
180.0,0.01927800079,0.000830501466948
190.0,0.0181865907306,0.000793235909033
200.0,0.0188893873871,0.000772759034892
210.0,0.0198191983675,0.000717879588691
220.0,0.022395338581,0.000689531702314
230.0,0.0227842375813,0.000660581392842
240.0,0.0220742839563,0.000649689015767
250.0,0.0212687674169,0.000620684295166
