40,0.00398,0.0002441311
45,0.0243,0.000407431
50,0.00517,0.0001734935
60,0.00091,0.0002256103
70,0.00155,0.0001802776
73,0.00469,0.0001640122
75,0.00523,0.0002325941
80,0.00179,0.0001972308
85,-0.00012,0.00016
90,0.00502,0.0002821347
92,0.00606,0.0002332381
95,0.00336,0.0001907878
100,0.0005,0.0002
105,-1e-05,0.0001135782
110,0.00074,0.0001496663
115,0.00217,0.0001676305
120,0.00586,0.000174356
125,0.00193,0.0001615549
130,0.00055,0.0001360147
140,0.00206,0.0001428286
150,0.00128,0.00014
160,0.00199,0.0001513275
