Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
120,,,0.00028,0.0001612452,0.13849,0.0001612452,0.00155,0.0001612452
130,,,0.00033,0.0001612452,0.28233,0.0001612452,0.00278,0.0001612452
140,,,0.00028,0.0001612452,0.77691,0.0001612452,0.00721,0.0001612452
150,,,0.00031,0.0001612452,2.6202,0.0001612452,0.02494,0.0001612452
160,,,0.00033,0.0001612452,10.0174,0.0001612452,0.1006,0.0001612452
170,,,1e-05,0.0001612452,0.89753,0.0001612452,0.01027,0.0001612452
180,,,0.00015,0.0001612452,0.54455,0.0001612452,0.00677,0.0001612452
190,,,0.0002,0.0001612452,0.51853,0.0001612452,0.00684,0.0001612452
200,,,0.0002,0.0001612452,0.48021,0.0001612452,0.00735,0.0001612452
210,,,0.00023,0.0001612452,0.49493,0.0001612452,0.00886,0.0001612452
220,,,0.00031,0.0001612452,0.54625,0.0001612452,0.01196,0.0001612452
230,,,0.00034,0.0001612452,0.57631,0.0001612452,0.01349,0.0001612452
240,,,0.00028,0.0001612452,0.57779,0.0001612452,0.01343,0.0001612452
