wavelength,EffVal,Unc
120.0,0.0177740869546,0.00319476624746
130.0,0.0169417771679,0.00158226378061
140.0,0.0174174598022,0.00058834225431
150.0,0.0177805228223,0.000213171360219
160.0,0.0178486191873,0.000142480454333
170.0,0.0176358335952,0.000414493850168
180.0,0.0165213604141,0.000582965638245
190.0,0.0158516037876,0.000557712250262
200.0,0.0164082307333,0.000538157977402
210.0,0.0174916205657,0.000481153751491
220.0,0.0198873470757,0.000418032678863
230.0,0.0206130929605,0.000390578875167
240.0,0.0197328755493,0.000374320898885
