wavelength,EffVal,Unc
130.0,0.0145730538494,0.000930021814719
140.0,0.0172531559461,0.000407410988202
150.0,0.0203636435346,0.000446897678717
160.0,0.0212898197119,0.000477386786604
170.0,0.020293832822,0.000449407666827
180.0,0.0191460270381,0.000442692652628
190.0,0.0178020047748,0.000429015928019
200.0,0.0179827715155,0.000404640581694
210.0,0.0206301961827,0.000473669665047
220.0,0.0245371099429,0.000550048633845
230.0,0.0276976363166,0.000609209813319
240.0,0.0269578123728,0.000747819105486
250.0,0.0258840132313,0.000593496996506
