Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
130,,,0.00385,9.219544e-05,0.62212,0.000256125,0.00998,0.000132665
140,,,0.00557,0.0001486607,4.4447,0.0004582576,0.05011,0.00017
150,,,0.0054,0.0001897367,12.1264,0.0009165151,0.13863,0.0002238303
160,,,0.00627,0.0001951922,33.437,0.004582576,0.39155,0.00015
170,,,0.00413,0.0001791647,4.6949,0.001135782,0.06233,0.0001268858
180,,,0.00385,0.0001802776,2.341,6.133174e-10,0.03459,0.0001513275
190,,,0.00334,0.0002905168,2.5591,0.0003,0.03757,0.0001951922
200,,,0.00349,0.00017,2.4304,0.0004898979,0.04074,0.0001113553
210,,,0.00341,0.00017,1.71547,0.0001615549,0.03667,0.0001791647
220,,,0.00384,0.0001280625,1.81488,0.000256125,0.04881,0.0001577973
230,,,0.00349,0.0001513275,1.69494,0.0002615339,0.0527,0.0001414214
240,,,0.00217,0.0002238303,1.54118,0.0001777639,0.04749,0.0007105632
250,,,0.00262,0.0002315167,1.19815,0.0001857418,0.04094,0.0001854724
