Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
40,,,-8e-05,0.00014,3.467,0.0006324555,0.00392,0.00016
45,,,-0.0008,0.0001264911,24.381,0.003,0.0244,0.0002408319
50,,,7e-05,0.0001004988,4.8136,0.00168523,0.00493,0.0002002498
60,,,9e-05,0.000175784,0.65192,0.0002856571,0.001,0.0001264911
70,,,-0.00078,0.0001777639,1.34598,0.0003310589,0.00152,0.000116619
73,,,-0.0012,0.0003376389,3.2306,0.000663325,0.00497,0.0002193171
75,,,-0.0003,0.0001949359,2.8069,0.001513275,0.00516,0.000168523
80,,,-0.0006,0.0001341641,1.22789,0.0005262129,0.00181,0.0001868154
85,,,-0.00075,0.0001360147,0.55484,0.0004152108,0.0,0.000148324
90,,,-0.00201,0.0002343075,5.4497,0.001486607,0.00532,0.0003091925
92,,,-0.00183,0.0001417745,7.0629,0.001577973,0.00624,0.0001280625
95,,,-0.00191,0.00017,3.6082,0.001249,0.00338,0.0002227106
100,,,-0.00228,0.0001661325,0.64562,0.0004214262,0.00038,0.0002039608
105,,,-0.00234,0.0001280625,0.37454,0.0002332381,-0.00015,0.0001204159
110,,,-0.00155,0.0002376973,0.36156,0.0002059126,0.00054,0.0001624808
115,,,-4e-05,0.0001496663,0.31984,0.00028,0.00219,0.0001640122
120,,,0.00039,0.000175784,0.76458,0.0003762978,0.00602,0.00016
125,,,-0.00146,0.000156205,0.44152,0.0002271563,0.00227,0.0002002498
130,,,-0.00063,0.0001187434,0.22982,0.0005963221,0.00068,0.000183303
140,,,-0.00026,0.000168523,0.73326,0.0002835489,0.002,0.000148324
150,,,-0.00072,0.000116619,0.3052,0.0001341641,0.00139,0.0002118962
160,,,-0.00059,0.0002844293,0.2303,0.000244949,0.00191,0.0002211334
