wavelength,EffVal,Unc
40.0,0.979308947114,0.292153772907
45.0,0.75684165167,0.201143834341
50.0,0.645601651837,0.156265263683
60.0,0.699102476447,0.209399025462
70.0,0.686696195977,0.1074544915
73.0,0.721276307738,0.0920093497569
75.0,0.705370893142,0.0771436841876
80.0,0.642974851213,0.0779289330356
85.0,0.401944786761,0.110839346426
90.0,0.372340092572,0.0303399270454
92.0,0.309144638913,0.02065939034
95.0,0.383625920377,0.0320676165212
100.0,1.01617176522,0.123368070829
105.0,1.36119531304,0.150967781934
110.0,1.27769778967,0.205176048464
115.0,1.45983924882,0.193200474173
120.0,1.47094804046,0.131723640163
125.0,1.65078768131,0.135413835684
130.0,1.06941564449,0.180340774318
140.0,0.49939402679,0.0507575667208
150.0,0.94736389111,0.110561733757
160.0,1.28699055353,0.187574289376
