Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
40,,,0.00036,0.0001280625,1.58424,0.0009951884,0.00184,9.165151e-05
45,,,0.0004,0.0001264911,10.5035,0.004944694,0.01041,8.306624e-05
50,,,0.00036,0.0001113553,1.68643,0.0009970456,0.00205,0.0001024695
60,,,0.00039,0.0001135782,0.26853,0.0002794638,0.00069,0.0001220656
70,,,0.00048,9.797959e-05,0.60841,0.0002586503,0.00122,9.797959e-05
80,,,0.00049,0.0001044031,0.48305,0.0005920304,0.0009,8.944272e-05
90,,,0.00044,8e-05,2.0218,0.003572114,0.00246,0.0001019804
100,,,0.00051,9.433981e-05,0.3403,0.0004753946,0.0014,0.0001095445
110,,,0.00052,7.483315e-05,0.22754,0.0002497999,0.00155,6.708204e-05
120,,,0.00047,0.0001268858,0.56713,0.0004313931,0.00387,0.0001268858
