Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
45,,,0.0001,0.0001549193,7.1657,0.03226469,0.00834,0.0002009975
50,,,-0.00035,0.0002376973,1.13911,0.005026221,0.0004,0.0004690416
55,,,-3e-05,0.0001791647,0.30708,0.0003487119,0.00038,0.000183303
60,,,0.00013,0.0001486607,0.21518,0.0004534314,0.00047,0.00019
65,,,-0.0003,0.0001732051,0.3467,0.0002366432,0.00027,0.0001791647
70,,,-0.00209,0.0001135782,0.28905,0.000527731,-0.00104,0.00022
75,,,-0.00245,0.0001746425,0.42898,0.0006462198,-0.00126,0.000156205
80,,,-0.00172,0.0001777639,0.27715,0.0002872281,-0.00127,0.0001951922
85,,,-0.00224,0.0002332381,0.16774,0.0002244994,-0.00178,0.0001886796
90,,,-0.00169,0.0002736786,1.09398,0.0008669487,0.00071,0.0001044031
95,,,-0.00228,0.00014,0.83875,0.0005937171,0.00047,0.0001615549
100,,,-0.00168,0.0002039608,0.37992,0.000468615,0.00102,0.00016
105,,,-0.00111,0.0001972308,0.28593,0.0002147091,0.00076,0.000168523
110,,,-0.00067,0.0001615549,0.39746,0.00058,0.00225,0.0002109502
115,,,0.00062,0.0001077033,0.27424,0.0003136877,0.0034,0.0001183216
120,,,0.00024,0.0001624808,0.56931,0.0001920937,0.00612,0.00054
125,,,0.00024,0.0002154066,0.22036,0.00028,0.00229,0.00017
130,,,-0.00112,0.000183303,0.06891,0.0001220656,-0.00028,0.00016
140,,,-0.00144,0.000168523,0.06033,0.0002794638,-0.00055,0.0001910497
150,,,-0.00193,0.0001345362,0.18153,0.0001615549,0.00027,0.0001417745
