wavelength,EffVal,Unc
45.0,0.0128883587975,0.00880471783845
50.0,0.00555391530867,0.00439073858394
55.0,0.00872598701704,0.00560064836777
60.0,0.00861729668084,0.00614865546926
65.0,0.00749483311971,0.00331695321685
70.0,0.0133427971572,0.0033029521923
75.0,0.00825640623296,0.00173817320097
80.0,0.00418135587986,0.0024679134055
85.0,0.00600710650546,0.00393567650128
90.0,0.00422356142072,0.000582409199714
95.0,0.00586082901474,0.000594274383102
100.0,0.0119946615137,0.00142833582641
105.0,0.0104625525421,0.00165770491469
110.0,0.0111704544906,0.00137338947064
115.0,0.0145239096789,0.00152673676631
120.0,0.0137841324436,0.00183170642765
125.0,0.0125162347688,0.00198189533551
130.0,0.017625465627,0.00520729050117
140.0,0.0247688460631,0.00711618699167
150.0,0.0222100927003,0.00203172517932
