Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
40,,,0.00201,0.0001868154,1.22116,0.0007158212,0.0035,0.0002
45,,,0.00167,0.0002794638,7.5557,0.007590125,0.01298,0.0001989975
50,,,0.0014,0.0001414214,1.23185,0.001577498,0.00337,0.0001791647
60,,,0.00141,0.0001445683,0.19293,0.0002325941,0.00181,0.000175784
70,,,0.00092,0.0001077033,0.3973,0.0005899152,0.00205,0.0001204159
80,,,0.00088,0.000132665,0.36883,0.0003661967,0.00142,0.0002039608
90,,,0.00063,0.0001417745,1.44901,0.002512549,0.00291,0.00017
100,,,0.00066,0.0001280625,0.2637,0.0003435113,0.00192,0.00016
110,,,0.00037,0.0002002498,0.22156,0.0002289105,0.00186,0.00012
120,,,0.00021,0.0001920937,0.40775,0.0001565248,0.00421,0.0002118962
