wavelength,EffVal,Unc
130.0,0.034550430897,0.00146486077065
140.0,0.0248569220937,0.000547543203277
150.0,0.0215540164184,0.000474133612655
160.0,0.018845220901,0.000408618163427
170.0,0.0163388921349,0.000382271002667
180.0,0.0147117842233,0.000571559742811
190.0,0.0132597341281,0.000293744081602
200.0,0.0133223720485,0.0003010401996
210.0,0.0167773636913,0.000788938719276
220.0,0.0204241124153,0.00047554221429
230.0,0.0237875508022,0.000553144643176
240.0,0.022044457168,0.000546094130021
250.0,0.0217964831199,0.000524758234673
