Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
130,,,0.00249,0.0002844293,0.73767,0.0001676305,0.012,0.0001612452
140,,,0.0018,0.0001612452,4.9011,0.001577973,0.05472,0.0001939072
150,,,0.00177,0.0001846619,12.8447,0.0004582576,0.14372,0.00024
160,,,0.00104,0.00012,35.598,0.006,0.39856,0.000257682
170,,,0.00122,0.0001939072,3.8649,0.0003,0.04618,0.0002785678
180,,,0.00068,0.0009019978,2.4229,0.0003,0.03004,0.0002764055
190,,,0.00129,0.00013,2.6791,0.0007,0.03356,0.0001280625
200,,,0.00091,0.0001135782,2.6403,0.0004582576,0.03618,0.0002088061
210,,,0.00414,0.0002727636,1.24002,0.000132665,0.02682,0.0009086253
220,,,0.00464,0.000168523,1.30472,0.00016,0.03595,0.0001565248
230,,,0.00451,0.00023,1.23058,0.0002039608,0.03967,0.0001951922
240,,,0.00567,0.0002758623,1.12186,0.0002332381,0.03667,0.0002002498
250,,,0.00482,0.0001661325,0.87044,0.00018,0.03191,0.0002426932
