Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
120,,,0.00028,0.0001612452,0.13849,0.0001612452,0.00147,0.0001612452
130,,,0.00033,0.0001612452,0.28233,0.0001612452,0.00259,0.0001612452
140,,,0.00028,0.0001612452,0.77691,0.0001612452,0.0066,0.0001612452
150,,,0.00031,0.0001612452,2.6202,0.0001612452,0.02268,0.0001612452
160,,,0.00033,0.0001612452,10.0174,0.0001612452,0.09186,0.0001612452
170,,,1e-05,0.0001612452,0.89753,0.0001612452,0.00943,0.0001612452
180,,,0.00015,0.0001612452,0.54455,0.0001612452,0.00628,0.0001612452
190,,,0.0002,0.0001612452,0.51853,0.0001612452,0.00623,0.0001612452
200,,,0.0002,0.0001612452,0.48021,0.0001612452,0.00678,0.0001612452
210,,,0.00023,0.0001612452,0.49493,0.0001612452,0.00808,0.0001612452
220,,,0.00031,0.0001612452,0.54625,0.0001612452,0.01083,0.0001612452
230,,,0.00034,0.0001612452,0.57631,0.0001612452,0.01206,0.0001612452
240,,,0.00028,0.0001612452,0.57779,0.0001612452,0.01212,0.0001612452
250,,,0.00026,0.0001612452,0.51604,0.0001612452,0.01181,0.0001612452
