wavelength,EffVal,Unc
120.0,0.0244068913052,0.00505887145218
130.0,0.0214055290356,0.00222427899153
140.0,0.0187268384848,0.000786559914616
150.0,0.0166509821339,0.000402134423274
160.0,0.0154197706113,0.000336323944936
170.0,0.0147368349912,0.000483518957665
180.0,0.0136667496492,0.000589575273654
190.0,0.0128004894538,0.000556343485381
200.0,0.0136664360552,0.000557909058944
210.0,0.0145072374466,0.00052423392735
220.0,0.0163418427161,0.000505886416225
230.0,0.016878889764,0.000490908928557
240.0,0.0162730154279,0.000478280045564
250.0,0.0155963218574,0.00045518032465
